n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,10,0.5,2,2,0.801083836654727,0.012449836054533104,0.0029888542251910446,9.00583345805062e-05,18.964
50,10,0.5,2,5,0.7976666982391063,0.011733510334680595,0.0030150150159559907,9.602245421108142e-05,18.5366
50,10,0.5,2,10,0.7848448129334391,0.012393139943944973,0.003109468925416474,0.00010952681632934479,18.0388
50,10,0.5,5,1,0.8014253522791119,0.010964650459128754,0.0029872190430060225,9.859719571515988e-05,20.9891
50,10,0.5,5,2,0.8028049350153074,0.011882630613742015,0.002976254605696455,9.283090550985701e-05,20.8974
50,10,0.5,5,5,0.7976666982391063,0.01173351033468061,0.0030150150159559907,9.602245421108148e-05,18.8441
50,10,0.5,5,10,0.7848448129334391,0.012393139943944973,0.003109468925416474,0.00010952681632934481,18.2455
50,10,0.5,10,1,0.79952741170341,0.011548941256403185,0.0030009308713636216,8.901478706277915e-05,18.8193
50,10,0.5,10,2,0.8015453887765526,0.012743330873819977,0.002985495998463473,0.00010043541783714429,18.5497
50,10,0.5,10,5,0.7976666982391063,0.01173351033468061,0.0030150150159559907,9.602245421108142e-05,18.5267
50,10,0.5,10,10,0.7848448129334391,0.012393139943944973,0.003109468925416474,0.00010952681632934481,18.2294
50,10,0.5,20,1,0.7906983222931175,0.012027451506527537,0.0030667553492539873,0.0001036172788328498,14.7989
50,10,0.5,20,2,0.7912623018660294,0.013257986926134665,0.003061772404450247,9.628145902575257e-05,20.4957
50,10,0.5,20,5,0.7905437900196508,0.013306573379212408,0.0030673187500393716,0.00010424340648640423,18.4404
50,10,0.5,20,10,0.7848448129334391,0.012393139943944973,0.003109468925416474,0.00010952681632934481,18.3998
50,10,1.0,2,1,0.8146599285971003,0.012325687595808694,0.002884707559700565,8.997136033977025e-05,31.3321
50,10,1.0,2,2,0.8154448354617874,0.012930358728737353,0.002878138862806752,8.649990586558053e-05,35.2011
50,10,1.0,2,5,0.8103836411003345,0.012541028468301293,0.002917996306510433,9.457198713406904e-05,31.2344
50,10,1.0,2,10,0.7977241291621758,0.012347488659184808,0.003014177512814568,9.247705400724922e-05,28.4725
50,10,1.0,5,1,0.8142572541612039,0.012762998739622574,0.0028875410046071822,8.882678013937592e-05,29.1466
50,10,1.0,5,2,0.8149719574315781,0.012769788590689831,0.0028819388938750258,8.649265808969012e-05,30.6542
50,10,1.0,5,5,0.8103836411003345,0.012541028468301293,0.002917996306510433,9.457198713406909e-05,30.4257
50,10,1.0,5,10,0.7977241291621758,0.012347488659184808,0.003014177512814568,9.247705400724916e-05,30.3913
50,10,1.0,10,1,0.8120373047233855,0.012601335348919126,0.002904930739459557,8.879049123349348e-05,31.1508
50,10,1.0,10,2,0.8128346495006514,0.012640721342458163,0.0028987445689976866,8.878401758565251e-05,31.0594
50,10,1.0,10,5,0.8103836411003345,0.012541028468301293,0.002917996306510433,9.457198713406896e-05,27.2014
50,10,1.0,10,10,0.7977241291621758,0.012347488659184822,0.003014177512814568,9.247705400724922e-05,26.5274
50,10,1.0,20,1,0.8048187830253436,0.013048185256860594,0.0029601748137411442,8.994775188003153e-05,30.0274
50,10,1.0,20,2,0.8054122423269231,0.013229900879658805,0.0029555821739442644,9.049138533305596e-05,30.3043
50,10,1.0,20,5,0.8041661588382579,0.013240701351552725,0.0029651826661925063,9.363609225845501e-05,26.4689
50,10,1.0,20,10,0.7977241291621759,0.01234748865918481,0.003014177512814568,9.247705400724924e-05,30.0866
50,20,sqrt,2,1,0.7887538778375611,0.013251141771480051,0.00308075427244157,0.0001115972355180134,24.0193
50,20,sqrt,2,2,0.7819372236807989,0.014957635500435674,0.0031293358973118386,0.000112631218072058,26.8552
50,20,sqrt,2,5,0.7603973040303166,0.015832363252476413,0.003280932589303498,0.00012446068591119225,22.2672
50,20,sqrt,2,10,0.7333890201135217,0.016639458772485953,0.0034616059768893337,0.00014157724638606993,17.4678
50,20,sqrt,5,1,0.7875873542422887,0.012366951855349159,0.0030891285137414973,9.642441904146611e-05,25.4159
50,20,sqrt,5,2,0.7828987790348834,0.014344673218574015,0.0031229197001347644,0.00011670658455668786,18.5416
50,20,sqrt,5,5,0.7603973040303166,0.015832363252476417,0.003280932589303498,0.00012446068591119236,21.3516
50,20,sqrt,5,10,0.7333890201135217,0.01663945877248597,0.0034616059768893337,0.0001415772463860698,20.8627
50,20,sqrt,10,1,0.7756712713654499,0.0139795158402601,0.0031744659807369313,0.00010482820396237972,22.9124
50,20,sqrt,10,2,0.7761010448767328,0.014611670379784333,0.0031715122436809483,0.000119647416160849,22.8048
50,20,sqrt,10,5,0.7603973040303166,0.01583236325247642,0.003280932589303498,0.0001244606859111923,22.3243
50,20,sqrt,10,10,0.7333890201135217,0.01663945877248597,0.0034616059768893337,0.00014157724638606974,22.074
50,20,sqrt,20,1,0.7617035827251877,0.016005846817452606,0.0032715509568678166,0.00011876967678552969,13.9795
50,20,sqrt,20,2,0.7569730006203705,0.017323021707848836,0.003303046343791785,0.00011116662109475058,2.6032
50,20,sqrt,20,5,0.7493938087894777,0.01554089814253331,0.003355251413644024,0.00011370787898569489,2.1594
50,20,sqrt,20,10,0.7333890201135217,0.01663945877248597,0.0034616059768893337,0.0001415772463860697,1.8978
50,20,log2,2,1,0.7887538778375611,0.013251141771480051,0.00308075427244157,0.00011159723551801341,3.0433
50,20,log2,2,2,0.7819372236807988,0.014957635500435697,0.0031293358973118386,0.000112631218072058,2.542
50,20,log2,2,5,0.7603973040303166,0.015832363252476417,0.003280932589303498,0.0001244606859111923,2.3507
