n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,5,0.5,10,5,0.8318779714091965,0.06802375495236562,31715.29967725534,6205.402391328886,4.4161
50,5,0.5,10,10,0.8318928408051065,0.05146306830926061,31998.98742641561,5751.8364295644415,2.8277
50,5,0.5,20,1,0.8314780014034173,0.05780067932737321,31857.611271643877,5274.820018487549,7.6411
50,5,0.5,20,2,0.8345915651400073,0.05470523768464842,31595.20346515787,5091.671974880965,2.9637
50,5,0.5,20,5,0.8312776227582267,0.06176156116105116,31883.109837331063,5953.767058673302,3.3939
50,5,0.5,20,10,0.8318928408051065,0.05146306830926064,31998.987426415602,5751.8364295644415,7.8256
50,5,1.0,2,1,0.8277893708122072,0.06426391129960758,32047.08514416138,4782.068940616808,2.1661
50,5,1.0,2,2,0.8264038549241883,0.0658970318114811,32140.43104903717,4907.888272047668,5.6383
50,5,1.0,2,5,0.8205670112618482,0.07408888272360008,32672.9077497296,6021.952585062305,6.9981
50,5,1.0,2,10,0.8172997147178231,0.060109469120627146,33270.81096852783,5782.532870689191,3.0571
50,5,1.0,5,1,0.825384407285642,0.06721637806666948,32220.227679731935,4990.64532877819,8.6358
50,5,1.0,5,2,0.8243203741035676,0.0680608186326392,32313.79097942683,5037.995057134025,3.1529
50,5,1.0,5,5,0.8205670112618482,0.07408888272360008,32672.9077497296,6021.952585062307,7.8912
50,5,1.0,5,10,0.8172997147178231,0.06010946912062713,33270.810968527825,5782.532870689189,5.2192
50,5,1.0,10,1,0.8249283049877668,0.06114048039495451,32381.706131229916,4947.91577226045,5.9057
50,5,1.0,10,2,0.8244801460182817,0.062283465568206436,32406.374048041318,4880.550646418864,7.1283
50,5,1.0,10,5,0.8205670112618482,0.07408888272360012,32672.907749729602,6021.952585062305,3.5074
50,5,1.0,10,10,0.8172997147178231,0.06010946912062713,33270.81096852783,5782.5328706891905,8.7339
50,5,1.0,20,1,0.8247553675302836,0.05833656752556553,32453.40656372402,4932.942597970478,2.614
50,5,1.0,20,2,0.8255603576690094,0.05809933184883671,32376.023278088636,4831.887300956747,6.5409
50,5,1.0,20,5,0.8193295877008868,0.06786070278416521,32904.46979483852,5849.039947959379,6.1881
50,5,1.0,20,10,0.8172997147178231,0.06010946912062713,33270.81096852783,5782.532870689189,2.959
50,10,sqrt,2,1,0.8606917387805441,0.05013117195961832,28939.235550359183,5200.1217318633,8.4377
50,10,sqrt,2,2,0.8614400147325378,0.05073131477327397,28858.45632293668,5516.8674761466045,3.3562
50,10,sqrt,2,5,0.8441814430418276,0.047942566249655046,30853.44137181818,5949.216276482473,6.1526
50,10,sqrt,2,10,0.8317906872908928,0.04336083286279441,32215.03847651984,6155.266796282297,5.9622
50,10,sqrt,5,1,0.855146388344725,0.060136475251117365,29382.672979149298,5978.224085427297,4.9452
50,10,sqrt,5,2,0.8643736690578245,0.0473648333343374,28616.371383951104,5420.892842246726,8.2505
50,10,sqrt,5,5,0.8441814430418276,0.047942566249655115,30853.441371818182,5949.216276482477,3.4113
50,10,sqrt,5,10,0.8317906872908928,0.04336083286279439,32215.03847651984,6155.266796282293,9.0227
50,10,sqrt,10,1,0.8546696076857427,0.05466242548178943,29578.37394629415,6041.2017405366905,3.7725
50,10,sqrt,10,2,0.8537131333321749,0.05004184924992853,29776.157374242302,5744.653983654429,8.9818
50,10,sqrt,10,5,0.8441814430418276,0.047942566249655066,30853.44137181818,5949.216276482472,4.1741
50,10,sqrt,10,10,0.8317906872908928,0.04336083286279439,32215.03847651984,6155.266796282295,8.5671
